country,year,region,income,death
Kiribati,1980,East Asia & Pacific,1,11.753
Kiribati,1981,East Asia & Pacific,1,11.542
Kiribati,1982,East Asia & Pacific,1,11.308
Kiribati,1983,East Asia & Pacific,1,11.056
Kiribati,1984,East Asia & Pacific,1,10.788
Kiribati,1985,East Asia & Pacific,1,10.512
Kiribati,1986,East Asia & Pacific,1,10.239
Kiribati,1987,East Asia & Pacific,1,9.981
Kiribati,1988,East Asia & Pacific,1,9.743
Kiribati,1989,East Asia & Pacific,1,9.526
Kiribati,1990,East Asia & Pacific,1,9.325
Kiribati,1991,East Asia & Pacific,1,9.131
Kiribati,1992,East Asia & Pacific,1,8.933
Kiribati,1993,East Asia & Pacific,1,8.723
Kiribati,1994,East Asia & Pacific,1,8.499
Kiribati,1995,East Asia & Pacific,1,8.264
Kiribati,1996,East Asia & Pacific,1,8.022
Kiribati,1997,East Asia & Pacific,1,7.78
Kiribati,1998,East Asia & Pacific,1,7.547
Kiribati,1999,East Asia & Pacific,1,7.329
Kiribati,2000,East Asia & Pacific,1,7.129
Kiribati,2001,East Asia & Pacific,1,6.95
Kiribati,2002,East Asia & Pacific,1,6.792
Kiribati,2003,East Asia & Pacific,1,6.652
Kiribati,2004,East Asia & Pacific,1,6.532
Kiribati,2005,East Asia & Pacific,1,6.429
Kiribati,2006,East Asia & Pacific,1,6.342
Kiribati,2007,East Asia & Pacific,1,6.268
Kiribati,2008,East Asia & Pacific,1,6.203
Kiribati,2009,East Asia & Pacific,1,6.147
Kiribati,2010,East Asia & Pacific,1,6.097
Kiribati,2011,East Asia & Pacific,1,6.051
Kiribati,2012,East Asia & Pacific,1,6.011
Kiribati,2013,East Asia & Pacific,1,5.976
"Korea, Dem. Rep.",1960,East Asia & Pacific,0,14.165
"Korea, Dem. Rep.",1961,East Asia & Pacific,0,13.87
"Korea, Dem. Rep.",1962,East Asia & Pacific,0,13.596
"Korea, Dem. Rep.",1963,East Asia & Pacific,0,13.284
"Korea, Dem. Rep.",1964,East Asia & Pacific,0,12.895
"Korea, Dem. Rep.",1965,East Asia & Pacific,0,12.412
